,accuracy,accuracy_std,f1_score,f1_std,precision,precision_std,recall,recall_std,train_time,test_time
Random Forest,0.36686909581646426,0.08508985967999318,0.36174639687797583,0.08170551345800639,0.3975007789481474,0.08624214564650236,0.36686909581646426,0.08508985967999318,0.22742757797241211,0.005661821365356446
Gradient Boosting,0.4191632928475034,0.036245308432963114,0.4175443176115955,0.03941176687358951,0.46546717901981055,0.06566701055189895,0.4191632928475034,0.036245308432963114,8.575020217895508,0.0030518531799316405
SVM,0.25472334682861,0.07918763972673751,0.26195932648856907,0.07572367654086058,0.35142873208662684,0.0911459969875553,0.25472334682861,0.07918763972673751,0.006519031524658203,0.0010678529739379882
Extra Trees,0.36686909581646426,0.08181246430588814,0.3572802097349609,0.08428003130040644,0.38197404203983154,0.0821578505765903,0.36686909581646426,0.08181246430588814,0.3270596742630005,0.0038331270217895506
Logistic Regression,0.27564102564102566,0.08154612346688475,0.26682078792402686,0.08172695061111086,0.3037761069340017,0.09710671900607709,0.27564102564102566,0.08154612346688475,0.015760326385498048,5.3381919860839845e-05
Decision Tree,0.3434547908232119,0.08025322302042054,0.3387146187146187,0.08632467658086745,0.37782655210286786,0.1073991194607756,0.3434547908232119,0.08025322302042054,0.008082103729248048,6.883144378662109e-05
AdaBoost,0.1956140350877193,0.04651413893246689,0.17447713894248787,0.049577978282988565,0.18951361990835675,0.06952539690471213,0.1956140350877193,0.04651413893246689,0.15835106372833252,0.0033774375915527344
